Username,Checked,Followers List,Followers Count
Krista_Ba,1,0,
ProfMeinke,1,0,
dralexgoodall,1,0,
IECIEEE,1,0,
antoniomazza92,1,0,
b_nell01,1,0,
rabbittnibble,1,0,
KatyaxKitt,1,0,
TheMeyerOfLA,1,0,
smajda,1,0,
markschaver,1,0,
Jakebinge,1,0,
mattspolar,1,0,
RSSReplacer,1,0,
david_john10,1,0,
Micah24601,1,0,
sackito_,1,0,
mvanheesewijk,1,0,
OsvaldoSpengler,1,0,
deliabailey,1,0,
krseeley,1,0,
taylorhbates,1,0,
ignasitorrent,1,0,
LomaxJake,1,0,
mobilizemybrain,1,0,
just1littlethin,1,0,
bdsinger,1,0,
vikingtori,1,0,
Newt_Swingrich,1,0,
singeroftales,1,0,
sorensentobias,1,0,
davidregan80,1,0,
hamarquette,1,0,
RubySlipperblog,1,0,
lais,1,0,
michelleanne44,1,0,
tactlrnr,1,0,
brinebaby,1,0,
wmthomason,1,0,
CastingCurrents,1,0,
jaricheson,1,0,
margaretsass,1,0,
MadameTea,1,0,
adam_haselhuhn,1,0,
MrMonkeyDiary,1,0,
SMGInsight,1,0,
_Srijit,1,0,
SpiralCage,1,0,
ClarosLody,1,0,
mathieugallard,1,0,
claire_preston,1,0,
hyominhan90,1,0,
habramyan,1,0,
RupertandLucind,1,0,
8ummer,1,0,
pimpdani,1,0,
brettkeller,1,0,
economish,1,0,
liron_2010,1,0,
mbrtdn,1,0,
demj23,1,0,
lauramboria,1,0,
VennPolitics,1,0,
matthewgrant323,1,0,
politicswthsoul,1,0,
KBadlan,1,0,
RyanWalsh03,1,0,
tomjsr,1,0,
noha_1965,1,0,
fieldspeed,1,0,
CharlesRhyne,1,0,
occamsshaver,1,0,
AdamBlenford,1,0,
mayphotocopy,1,0,
jacksantucci,1,0,
mollyKgirts,1,0,
klbesemer,1,0,
Zanhoura,1,0,
hilarykray,1,0,
thedailyseth,1,0,
robertrlucas,1,0,
JasonRodrgz,1,0,
QFPinfo,1,0,
YAVUZKIR,1,0,
tcalero,1,0,
SUHAILRAFAT,1,0,
tlovatt,1,0,
JakeGronie,1,0,
AlexandLeclerc,1,0,
micahcohen,1,0,
anders_com,1,0,
lasermouse,1,0,
LumenPics,1,0,
DusWilloughby,1,0,
emustich,1,0,
vickyelliott1,1,0,
alexgordonmad,1,0,
larebare,1,0,
TyeWD,1,0,
ankybaikmdgrkta,1,0,
demelm,1,0,
chi_nghi,1,0,
DiegoMuro1,1,0,
jeff_harden,1,0,
webdoyenne,1,0,
yorgosathanas,1,0,
cjcarman,1,0,
superwhig,1,0,
tru0nger,1,0,
TheSocialCMO,1,0,
Nursekare,1,0,
mattspence,1,0,
satiguiGAMALIEL,1,0,
ColdNorth85,1,0,
DenizGuvercin,1,0,
czevallos,1,0,
SamuellaJackson,1,0,
mcgbox,1,0,
DylanColmer,1,0,
hanhuck,1,0,
leedrutman,1,0,
MonkeyHIP,1,0,
joshuadhughes,1,0,
Chan_Pol,1,0,
MonkeyAB9,1,0,
MariaAsensio3,1,0,
RDandurand,1,0,
NUPS345,1,0,
RyanHodum,1,0,
iamthecoon,1,0,
cwarshaw,1,0,
nolenje,1,0,
b_g_h,1,0,
d_mainwaring,1,0,
mohsinned,1,0,
PatrickFong,1,0,
AmandaBeadle,1,0,
RichardBridger,1,0,
Djhungry,1,0,
AGuyNamedRourke,1,0,
simon063,1,0,
sardonico24,1,0,
pbfritz,1,0,
SimonJackman,1,0,
BrendanSasso,1,0,
paulobilyk,1,0,
stringslighter,1,0,
clemsonmpa,1,0,
_burgan,1,0,
Ash_Aryan_Khan,1,0,
dandraorey,1,0,
CHultholm,1,0,
cjkgray,1,0,
moerror,1,0,
Conservative4TX,1,0,
marcioguilherme,1,0,
mathuizing,1,0,
Cyndi497,1,0,
loglikelihood,1,0,
serkan_canak,1,0,
marcidale,1,0,
three_monkeys,1,0,
augustomendona,1,0,
LutherVP,1,0,
wallstin,1,0,
ianRturner,1,0,
christiancollet,1,0,
andylaganus,1,0,
bonzaiblog,1,0,
jenniesweetcush,1,0,
NorthernRemy,1,0,
JF_Godbout,1,0,
ildefons,1,0,
evanblank,1,0,
Starbuck_K,1,0,
rpt62960,1,0,
driftadventure,1,0,
PoliticalRuckus,1,0,
JoanneRippin,1,0,
TroyRamsay,1,0,
allisonarcher,1,0,
SamuelSolomon3,1,0,
Jon2012Vols,1,0,
jessicapellien,1,0,
CW7600,1,0,
e_IR,1,0,
stobotic,1,0,
ChickenSoda1,1,0,
PhysicsForum,1,0,
BuReemAlansari,1,0,
sradford22,1,0,
ahopefullife,1,0,
alejandroa007,1,0,
CatawbaPolitics,1,0,
JimNichols,1,0,
DS_CT,1,0,
kasy12345,1,0,
Marianaszs,1,0,
BradBannon,1,0,
amanda_conroy,1,0,
smych,1,0,
Narwhal_Nation,1,0,
Nolan_Mc,1,0,
PETEMARSDEN,1,0,
amymollett,1,0,
CorbinHiar,1,0,
chashomans,1,0,
UCLAQuoteGirl,1,0,
EbooksYou,1,0,
dharns,1,0,
drunkenmonkie12,1,0,
bennettdaniel,1,0,
mike_bader,1,0,
robstockman,1,0,
daveferr,1,0,
D_L_Richards,1,0,
jrteruel,1,0,
bytecode,1,0,
KathleenKlaus,1,0,
danellec,1,0,
MattC_TKHW,1,0,
Steph_MacMillan,1,0,
EdRenouille,1,0,
jsende,1,0,
SciencepoLyon2,1,0,
kittthunterrr,1,0,
CentAmPolMike,1,0,
MellyDawsonx,1,0,
AnthonyBucci3,1,0,
MoustacheClubUS,1,0,
Carraway34,1,0,
peacebuild,1,0,
dianawueger,1,0,
DavidBellMislan,1,0,
PaulRadS,1,0,
HebronAggie,1,0,
sefheartsorange,1,0,
AlfMoore,1,0,
Parsippany21,1,0,
austinlewis45,1,0,
SwanieH,1,0,
BPulpit,1,0,
Richard_Hoar,1,0,
dongkyuchang,1,0,
maggie_nieto,1,0,
monkeyquest,1,0,
humanrightsdata,1,0,
tonypost,1,0,
McClintock2,1,0,
vrobinson,1,0,
PeterColumCasey,1,0,
chippera31,1,0,
OldRich,1,0,
idiosyncronaut,1,0,
bmartin1,1,0,
redfoster,1,0,
brianhanafin,1,0,
jake65,1,0,
DCEsq,1,0,
DpSulliv13,1,0,
kitstolz,1,0,
markredwards,1,0,
patmch,1,0,
tobikraft,1,0,
fishmanhr,1,0,
AgroCrago,1,0,
jclardie,1,0,
gomac65,1,0,
rdspee,1,0,
William_Stokes,1,0,
TickedOffVoter,1,0,
TMZofDC,1,0,
kishidachuui,1,0,
szarka,1,0,
greg_dl,1,0,
benpvfc,1,0,
ShadowShaman,1,0,
Alexapp1,1,0,
analopezct,1,0,
losthunderlads,1,0,
aseeestudies,1,0,
stuartcard,1,0,
EGeelmuydenRod,1,0,
j2bryson,1,0,
AlbertoPenades,1,0,
pfhandler,1,0,
Gov_EmilyK,1,0,
